"Statistic Label","Year","Item","UNIT","VALUE"
"Expenditure on Gross National Income at Constant Market Prices","2020","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-114225"
"Expenditure on Gross National Income at Constant Market Prices","2020","101. Gross national product at constant market prices","Euro Million","317898"
"Expenditure on Gross National Income at Constant Market Prices","2020","102. EU subsidies - ESA code (D.3)","Euro Million","1486"
"Expenditure on Gross National Income at Constant Market Prices","2020","103. EU taxes - ESA code (D.2)","Euro Million","-480"
"Expenditure on Gross National Income at Constant Market Prices","2020","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","318865"
"Expenditure on Gross National Income at Constant Market Prices","2020","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-116434"
"Expenditure on Gross National Income at Constant Market Prices","2020","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","201931"
"Expenditure on Gross National Income at Constant Market Prices","2021","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","132360"
"Expenditure on Gross National Income at Constant Market Prices","2021","92a Final consumption expenditure of Households and NPISHs","Euro Million","124243"
"Expenditure on Gross National Income at Constant Market Prices","2021","92b Final consumption expenditure of government","Euro Million","8156"
"Expenditure on Gross National Income at Constant Market Prices","2021","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","49439"
"Expenditure on Gross National Income at Constant Market Prices","2021","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","112093"
"Expenditure on Gross National Income at Constant Market Prices","2021","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","4519"
"Expenditure on Gross National Income at Constant Market Prices","2021","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2021","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","665618"
"Expenditure on Gross National Income at Constant Market Prices","2021","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-460398"
"Expenditure on Gross National Income at Constant Market Prices","2021","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2021","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","500771"
"Expenditure on Gross National Income at Constant Market Prices","2021","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-140492"
"Expenditure on Gross National Income at Constant Market Prices","2021","101. Gross national product at constant market prices","Euro Million","361583"
"Expenditure on Gross National Income at Constant Market Prices","2021","102. EU subsidies - ESA code (D.3)","Euro Million","1406"
"Expenditure on Gross National Income at Constant Market Prices","2021","103. EU taxes - ESA code (D.2)","Euro Million","-840"
"Expenditure on Gross National Income at Constant Market Prices","2021","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","362133"
"Expenditure on Gross National Income at Constant Market Prices","2021","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-121641"
"Expenditure on Gross National Income at Constant Market Prices","2021","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","240638"
"Expenditure on Gross National Income at Constant Market Prices","2022","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","146605"
"Expenditure on Gross National Income at Constant Market Prices","2022","92a Final consumption expenditure of Households and NPISHs","Euro Million","137669"
"Expenditure on Gross National Income at Constant Market Prices","2022","92b Final consumption expenditure of government","Euro Million","8987"
"Expenditure on Gross National Income at Constant Market Prices","2022","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","50683"
"Expenditure on Gross National Income at Constant Market Prices","2022","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","115202"
"Expenditure on Gross National Income at Constant Market Prices","2022","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","8895"
"Expenditure on Gross National Income at Constant Market Prices","2022","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2022","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","745664"
"Expenditure on Gross National Income at Constant Market Prices","2022","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-529319"
"Expenditure on Gross National Income at Constant Market Prices","2022","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2022","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","538384"
"Expenditure on Gross National Income at Constant Market Prices","2022","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-172776"
"Expenditure on Gross National Income at Constant Market Prices","2022","101. Gross national product at constant market prices","Euro Million","366169"
"Expenditure on Gross National Income at Constant Market Prices","2022","102. EU subsidies - ESA code (D.3)","Euro Million","1291"
"Expenditure on Gross National Income at Constant Market Prices","2022","103. EU taxes - ESA code (D.2)","Euro Million","-931"
"Expenditure on Gross National Income at Constant Market Prices","2022","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","366522"
"Expenditure on Gross National Income at Constant Market Prices","2022","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-125505"
"Expenditure on Gross National Income at Constant Market Prices","2022","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","241019"
"Expenditure on Gross National Income at Constant Market Prices","2023","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","153926"
"Expenditure on Gross National Income at Constant Market Prices","2023","92a Final consumption expenditure of Households and NPISHs","Euro Million","143697"
"Expenditure on Gross National Income at Constant Market Prices","2023","92b Final consumption expenditure of government","Euro Million","10229"
"Expenditure on Gross National Income at Constant Market Prices","2023","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","53217"
"Expenditure on Gross National Income at Constant Market Prices","2023","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","130596"
"Expenditure on Gross National Income at Constant Market Prices","2023","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","9288"
"Expenditure on Gross National Income at Constant Market Prices","2023","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2023","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","716393"
"Expenditure on Gross National Income at Constant Market Prices","2023","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-541118"
"Expenditure on Gross National Income at Constant Market Prices","2023","98. Statistical discrepancy","Euro Million","2426"
"Expenditure on Gross National Income at Constant Market Prices","2023","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","524729"
"Expenditure on Gross National Income at Constant Market Prices","2023","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-133977"
"Expenditure on Gross National Income at Constant Market Prices","2023","101. Gross national product at constant market prices","Euro Million","390752"
"Expenditure on Gross National Income at Constant Market Prices","2023","102. EU subsidies - ESA code (D.3)","Euro Million","1128"
"Expenditure on Gross National Income at Constant Market Prices","2023","103. EU taxes - ESA code (D.2)","Euro Million","-884"
"Expenditure on Gross National Income at Constant Market Prices","2023","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","390996"
"Expenditure on Gross National Income at Constant Market Prices","2023","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-129109"
"Expenditure on Gross National Income at Constant Market Prices","2023","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","261886"
"Expenditure on Gross National Income at Constant Market Prices","2024","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","158459"
"Expenditure on Gross National Income at Constant Market Prices","2024","92a Final consumption expenditure of Households and NPISHs","Euro Million","147997"
"Expenditure on Gross National Income at Constant Market Prices","2024","92b Final consumption expenditure of government","Euro Million","10463"
"Expenditure on Gross National Income at Constant Market Prices","2024","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","56048"
"Expenditure on Gross National Income at Constant Market Prices","2024","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","93421"
"Expenditure on Gross National Income at Constant Market Prices","2024","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","5257"
"Expenditure on Gross National Income at Constant Market Prices","2024","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2024","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","777771"
"Expenditure on Gross National Income at Constant Market Prices","2024","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-555653"
"Expenditure on Gross National Income at Constant Market Prices","2024","98. Statistical discrepancy","Euro Million","3065"
"Expenditure on Gross National Income at Constant Market Prices","2024","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","538369"
"Expenditure on Gross National Income at Constant Market Prices","2024","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-134707"
"Expenditure on Gross National Income at Constant Market Prices","2024","101. Gross national product at constant market prices","Euro Million","403662"
"Expenditure on Gross National Income at Constant Market Prices","2024","102. EU subsidies - ESA code (D.3)","Euro Million","1202"
"Expenditure on Gross National Income at Constant Market Prices","2024","103. EU taxes - ESA code (D.2)","Euro Million","-576"
"Expenditure on Gross National Income at Constant Market Prices","2024","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","404288"
"Expenditure on Gross National Income at Constant Market Prices","2024","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-130727"
"Expenditure on Gross National Income at Constant Market Prices","2024","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","273561"
