"Statistic Label","Year","Item","UNIT","VALUE"
"Expenditure on Gross National Income at Constant Market Prices","1998","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-85435"
"Expenditure on Gross National Income at Constant Market Prices","1998","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","1998","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","141572"
"Expenditure on Gross National Income at Constant Market Prices","1998","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-12230"
"Expenditure on Gross National Income at Constant Market Prices","1998","101. Gross national product at constant market prices","Euro Million","134403"
"Expenditure on Gross National Income at Constant Market Prices","1998","102. EU subsidies - ESA code (D.3)","Euro Million","3227"
"Expenditure on Gross National Income at Constant Market Prices","1998","103. EU taxes - ESA code (D.2)","Euro Million","-371"
"Expenditure on Gross National Income at Constant Market Prices","1998","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","137171"
"Expenditure on Gross National Income at Constant Market Prices","1998","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-13897"
"Expenditure on Gross National Income at Constant Market Prices","1998","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","128792"
"Expenditure on Gross National Income at Constant Market Prices","1999","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","72997"
"Expenditure on Gross National Income at Constant Market Prices","1999","92a Final consumption expenditure of Households and NPISHs","Euro Million","71373"
"Expenditure on Gross National Income at Constant Market Prices","1999","92b Final consumption expenditure of government","Euro Million","1780"
"Expenditure on Gross National Income at Constant Market Prices","1999","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","25127"
"Expenditure on Gross National Income at Constant Market Prices","1999","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","37743"
"Expenditure on Gross National Income at Constant Market Prices","1999","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","587"
"Expenditure on Gross National Income at Constant Market Prices","1999","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","1999","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","105348"
"Expenditure on Gross National Income at Constant Market Prices","1999","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-96214"
"Expenditure on Gross National Income at Constant Market Prices","1999","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","1999","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","156479"
"Expenditure on Gross National Income at Constant Market Prices","1999","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-15724"
"Expenditure on Gross National Income at Constant Market Prices","1999","101. Gross national product at constant market prices","Euro Million","145288"
"Expenditure on Gross National Income at Constant Market Prices","1999","102. EU subsidies - ESA code (D.3)","Euro Million","2958"
"Expenditure on Gross National Income at Constant Market Prices","1999","103. EU taxes - ESA code (D.2)","Euro Million","-325"
"Expenditure on Gross National Income at Constant Market Prices","1999","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","147827"
"Expenditure on Gross National Income at Constant Market Prices","1999","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-15296"
"Expenditure on Gross National Income at Constant Market Prices","1999","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","138377"
